Musical Poster,Theatre,Address,Capacity,Owner/Operator,Current production,Type,Opened,Closing,youtube
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/In%20Transit.jpg?token=AUWyJ50XiKuPLyWrM8qedDbH-bOGWYsfks5YUFd9wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Circle in the Square Theatre,W. 50th St. (No. 235),840,Independent,In Transit,Musical,"2016-12-11December 11, 2016*",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=In transit musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Cort Theatre,W. 48th St. (No. 138),1084,Shubert Organization,Indecent,Play,"2017-04-18April 18, 2017*",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Indecent play\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Ethel Barrymore Theatre,W. 47th St. (No. 243),1096,Shubert Organization,The Present,Play,"2017-01-08January 8, 2017*","2017-03-19March 19, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The present play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Book%20of%20Mormon.jpg?token=AUWyJ3PzK3uF3lQXGXcuRZIHY4qmVJtZks5YUFecwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Eugene O'Neill Theatre,W. 49th St. (No. 230),1066,Jujamcyn Theaters,The Book of Mormon,Musical,"2011-03-24March 24, 2011",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The book of mormon musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Humans.jpg?token=AUWyJ8Jl44-iu85P4XY8bB-BCBD0Widwks5YUFe8wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Gerald Schoenfeld Theatre,W. 45th St. (No. 236),1079,Shubert Organization,The Humans,Play,"2016-02-18February 18, 2016",15-Jan-17,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The humans play broadway\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Wicked.jpg?token=AUWyJ1RRovikaZMlPMM1KNbDYEvuum2Mks5YUFffwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Gershwin Theatre,W. 51st St. (No. 222),1933,Nederlander Organization,Wicked,Musical,"2003-10-30October 30, 2003",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Wicked musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Helen Hayes Theatre,W. 44th St. (No. 240),597,Second Stage Theatre,,,,,
,Hudson Theatre,W. 44th St. (No. 141),970,Ambassador Theatre Group,,,,,
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Natasha%2C%20Pierre%20%26%20The%20Great%20Comet%20of%201812.jpg?token=AUWyJ5hATs7LtiWRLQQlzpBWvDk9KMORks5YUFgYwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Imperial Theatre,W. 45th St. (No. 249),1443,Shubert Organization,"Natasha, Pierre & The Great Comet of 1812",Musical,"2016-11-14November 14, 2016",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Natasha, Pierre & The Great Comet of 1812\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Encounter.jpg?token=AUWyJx9Nqlw_O_2fiK85EGAQMS-JTJoIks5YUFg3wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",John Golden Theatre,W. 45th St. (No. 252),805,Shubert Organization,The Encounter,Play,"2016-09-29September 29, 2016","2017-01-08January 8, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The encounter play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/A%20Bronx%20Tale%20The%20Musical.jpg?token=AUWyJz2mSo8j79rf91QodbMTXeIBk4QEks5YUFhKwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Longacre Theatre,W. 48th St. (No. 220),1091,Shubert Organization,A Bronx Tale,Musical,"2016-12-01December 1, 2016",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=A Bronx Tale musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/shows_img/Charlie%20and%20the%20Chocolate%20Factory.jpg?token=AUWyJ184rDqvM04HljjC3lGdvwt9f2Daks5YUFiYwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Lunt-Fontanne Theatre,W. 46th St. (No. 205),1519,Nederlander Organization,Charlie and the Chocolate Factory,Musical,"2017-04-23April 23, 2017*",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Charlie and the Chocolate Factory broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Oh%2C%20Hello%20on%20Broadway.jpg?token=AUWyJ2KJol0L5iOX2SAf5C3NScId6aYLks5YUFi1wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Lyceum Theatre,W. 45th St. (No. 149),922,Shubert Organization,"Oh, Hello on Broadway",Play,"2016-10-10October 10, 2016","2017-01-22January 22, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Oh, Hello on Broadway play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Cirque%20du%20Soleil%20Paramour.jpg?token=AUWyJ34XqAZ3sQaFj7smc9EyRu2ur-Fhks5YUFjuwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Lyric Theatre,W. 42nd St. (No. 213),1938,Ambassador Theatre Group,Paramour,Musical,"2016-05-25May 25, 2016","2017-04-16April 16, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Paramour broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Phantom%20of%20the%20Opera.jpg?token=AUWyJ0Y7yTRwjNuwMLzBakYZuz5C8H7qks5YUFkSwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Majestic Theatre,W. 44th St. (No. 247),1645,Shubert Organization,The Phantom of the Opera,Musical,"1988-01-26January 26, 1988",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The phantom of the opera broadway\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/On%20Your%20Feet!.jpg?token=AUWyJ9ibZXQ4bHBq0hLZtxT8zBCH4jAFks5YUFkswA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Marquis Theatre,Broadway (No. 1535),1612,Nederlander Organization,On Your Feet!,Musical,"2015-11-05November 5, 2015",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=On your feet broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/The%20Lion%20King.jpg?token=AUWyJ9C-vOb28jbOVdVeZmU-JEmQlHttks5YUFlGwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Minskoff Theatre,W. 45th St. (No. 200),1710,Nederlander Organization,The Lion King,Musical,"1997-11-13November 13, 1997",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The lion king broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Dear%20Evan%20Hansen.jpg?token=AUWyJ0h4PHTzC1HqbSyNyDHRqB-F7fokks5YUFltwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Music Box Theatre,W. 45th St. (No. 239),1009,Shubert Organization,Dear Evan Hansen,Musical,"2016-12-04December 4, 2016",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Dear Evan Hansen broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Nederlander Theatre,W. 41st St. (No. 208),1235,Nederlander Organization,War Paint,Musical,"2017-04-06April 6, 2017*",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=War Paint broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Cats.jpg?token=AUWyJ2gh7V3e54cpgtLKZQKjVbJKij64ks5YUFmWwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Neil Simon Theatre,W. 52nd St. (No. 250),1467,Nederlander Organization,Cats,Musical,"2016-07-31July 31, 2016",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Cats broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Aladdin.jpg?token=AUWyJ-e3hjYs8ZFqJCEiDV-0J72WWBCkks5YUFm0wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",New Amsterdam Theatre,W. 42nd St. (No. 214),1747,Disney Theatrical Group,Aladdin,Musical,"2014-03-20March 20, 2014",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Aladdin broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Palace Theatre,Broadway (No. 1564),1743,Nederlander Organization,The Illusionists Turn of the Century,Magic,"2016-11-25November 25, 2016","2017-01-01January 1, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Illusionists Turn of the Century magic\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Hamilton.jpg?token=AUWyJ9UuQI249VeC7x8RI0pBu94FzqJHks5YUFnkwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Richard Rodgers Theatre,W. 46th St. (No. 226),1400,Nederlander Organization,Hamilton,Musical,"2015-08-06August 6, 2015",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Hamilton broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Something%20Rotten!.jpg?token=AUWyJxF2jr9_THQlzkAzAiBafUniGnc5ks5YUFoKwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",St. James Theatre,W. 44th St. (No. 246),1709,Jujamcyn Theaters,Something Rotten!,Musical,"2015-04-22April 22, 2015","2017-01-01January 1, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Something rotten broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Heisenberg.jpg?token=AUWyJzee4me3ya0ODA5SFLoco7SzVhlfks5YUFowwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Samuel J. Friedman Theatre,W. 47th St. (No. 261),650,Manhattan Theatre Club,Heisenberg,Play,"2016-10-13October 13, 2016","2016-12-11December 11, 2016","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Heisenberg broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/shows_img/Matilda.jpg?token=AUWyJwjj_UJpjNQQcov6WsuZgpGIdxxvks5YUFp2wA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Shubert Theatre,W. 44th St. (No. 225),1460,Shubert Organization,Matilda the Musical,Musical,"2013-04-11April 11, 2013","2017-01-01January 1, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Matilda the musical broadway\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Beautiful%20The%20Carole%20King%20Musical.jpg?token=AUWyJ174Bk3vyR0gSsqGBalGZkUBCEAwks5YUFqlwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Stephen Sondheim Theatre,W. 43rd St. (No. 124),1055,Roundabout Theatre Company,Beautiful: The Carole King Musical,Musical,"2014-01-12January 12, 2014",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Beautiful The Carole King Musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Holiday%20Inn%2C%20The%20New%20Irving%20Berlin%20Musical.jpg?token=AUWyJ255UaYd5xoeukEvwzUELlX_LZp5ks5YUFrRwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Studio 54,W. 54th St. (No. 254),1006,Roundabout Theatre Company,Holiday Inn,Musical,"2016-10-06October 6, 2016","2017-01-15January 15, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Holiday Inn broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
,Vivian Beaumont Theater,W. 65th St. (No. 150),1080,Lincoln Center Theatre,Oslo,Play,"2017-04-13April 13, 2017*",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Oslo broadway play\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/Falsettos.jpg?token=AUWyJ_gj4pZ8ian20757Zqe2TP158eGzks5YUFsbwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Walter Kerr Theatre,W. 48th St. (No. 219),945,Jujamcyn Theaters,Falsettos,Musical,"2016-10-27October 27, 2016","2017-01-08January 8, 2017","<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Falsettos broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
"<br><img src=\""https://raw.githubusercontent.com/TZstatsADS/Fall2016-proj5-grp6/master/figs/images/School%20of%20Rock%20%E2%80%93%20The%20Musical.jpg?token=AUWyJ4ee2UJq3CtARmyMtSnsZvWWDYj4ks5YUFtUwA%3D%3D\"" alt=\""HTML5 Icon\"" style=\""width:120px;height:170px;\"">",Winter Garden Theatre,Broadway (No. 1634),1526,Shubert Organization,School of Rock,Musical,"2015-12-06December 6, 2015",Open-ended,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=School of rock broadway musical\"" frameborder=\""0\"" allowfullscreen></iframe>"
